target,model,season,n_games,accuracy,log_loss,mae,ats_pct
spread,lightgbm_plus_vegas,2026,30,,,11.97211691403155,0.5172413793103449
spread,linear,2017,267,,,11.016978660316719,0.4864864864864865
spread,linear,2018,267,,,10.357061202394595,0.4883720930232558
spread,linear,2019,267,,,10.622640914298989,0.5136186770428015
spread,linear,2020,269,,,10.225096185836982,0.516728624535316
spread,linear,2021,285,,,10.924634942426577,0.5338078291814946
spread,linear,2022,284,,,9.149363662524221,0.5401459854014599
spread,linear,2023,285,,,10.45661299264589,0.5018450184501845
spread,linear,2024,285,,,10.09551820431143,0.5124555160142349
spread,linear,2025,285,,,10.007459938310738,0.5211267605633803
spread,linear,2026,30,,,12.533255581635725,0.5172413793103449
spread,linear_coherent,2017,267,,,11.016978660316719,0.4864864864864865
spread,linear_coherent,2018,267,,,10.357061202394595,0.4883720930232558
spread,linear_coherent,2019,267,,,10.622640914298989,0.5136186770428015
spread,linear_coherent,2020,269,,,10.225096185836982,0.516728624535316
spread,linear_coherent,2021,285,,,10.924634942426577,0.5338078291814946
spread,linear_coherent,2022,284,,,9.149363662524221,0.5401459854014599
spread,linear_coherent,2023,285,,,10.45661299264589,0.5018450184501845
spread,linear_coherent,2024,285,,,10.09551820431143,0.5124555160142349
spread,linear_coherent,2025,285,,,10.007459938310738,0.5211267605633803
spread,linear_coherent,2026,30,,,12.533255581635725,0.5172413793103449
spread,linear_plus_vegas,2017,267,,,10.642300958427583,0.4980694980694981
spread,linear_plus_vegas,2018,267,,,10.087563789249646,0.5387596899224806
spread,linear_plus_vegas,2019,267,,,10.254971312437096,0.5058365758754864
spread,linear_plus_vegas,2020,269,,,9.990101905078042,0.5204460966542751
spread,linear_plus_vegas,2021,285,,,10.568358176529872,0.5516014234875445
spread,linear_plus_vegas,2022,284,,,8.881502788693192,0.5109489051094891
spread,linear_plus_vegas,2023,285,,,10.130919957860518,0.5350553505535055
spread,linear_plus_vegas,2024,285,,,9.76825201816833,0.49466192170818507
spread,linear_plus_vegas,2025,285,,,9.694461107748902,0.5387323943661971
spread,linear_plus_vegas,2026,30,,,11.860091305765225,0.5862068965517241
spread,vegas,2017,267,,,10.08052434456929,0.4864864864864865
spread,vegas,2018,267,,,9.874531835205993,0.5271317829457365
spread,vegas,2019,267,,,10.176029962546817,0.5603112840466926
spread,vegas,2020,269,,,9.78996282527881,0.5055762081784386
spread,vegas,2021,285,,,10.666666666666666,0.5160142348754448
spread,vegas,2022,284,,,8.783450704225352,0.5072992700729927
spread,vegas,2023,285,,,9.98421052631579,0.5018450184501845
spread,vegas,2024,285,,,9.703508771929824,0.4804270462633452
spread,vegas,2025,285,,,9.670175438596491,0.49295774647887325
spread,vegas,2026,30,,,11.716666666666667,0.5172413793103449
total,elo,2017,267,,,11.511809739576032,
total,elo,2018,267,,,11.301811084196169,
total,elo,2019,267,,,11.170463717006015,
